"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"CKTCEUS","197301","108.256","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","197302","97.667","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","197303","97.333","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","197304","93.052","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","197305","94.311","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","197306","97.724","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","197307","103.131","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","197308","105.357","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","197309","98.261","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","197310","101.028","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","197311","101.436","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","197312","108.718","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","197313","1206.274","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","197401","107.129","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","197402","96.895","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","197403","98.365","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","197404","93.412","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","197405","96.59","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","197406","94.949","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","197407","103.635","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","197408","103.888","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","197409","94.494","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","197410","99.061","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","197411","95.464","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","197412","101.357","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","197413","1185.239","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","197501","106.353","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","197502","97.813","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","197503","100.493","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","197504","93.139","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","197505","91.555","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","197506","95.011","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","197507","100.319","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","197508","103.353","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","197509","92.997","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","197510","94.857","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","197511","97.182","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","197512","107.66","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","197513","1180.733","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","197601","111.59","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","197602","98.91","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","197603","102.754","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","197604","98.184","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","197605","98.784","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","197606","102.273","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","197607","108.981","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","197608","109.895","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CKTCEUS","197609","100.919","1","Coal, Including Coal Coke Net Imports, CO2 Emissions","Million Metric Tons of Carbon Dioxide"
